timestamp,open,high,low,close,adjusted close,volume,dividend amount
2010-08-20,127.4700,130.1950,126.9600,127.5000,71.0823,24839400,0.0000
2010-08-13,130.7900,132.4900,127.3300,127.8700,71.2885,27721100,0.0000
2010-08-06,129.2500,131.9800,128.7600,130.1400,72.5541,26753600,0.6500
2010-07-30,128.1800,129.5000,127.0400,128.4000,71.2283,29087100,0.0000
2010-07-23,128.6700,130.3800,122.9300,128.3800,71.2172,45328500,0.0000
2010-07-16,127.3700,131.6000,127.1600,128.0300,71.0230,30691500,0.0000
2010-07-09,123.5800,128.2000,122.1700,127.9600,70.9842,22776300,0.0000
2010-07-02,127.6500,129.4700,120.6100,121.8600,67.6003,39925900,0.0000
2010-06-25,131.4200,131.9400,127.1200,127.1200,70.5182,35729700,0.0000
2010-06-18,128.5000,131.2500,128.3400,130.1500,72.1991,34958900,0.0000
2010-06-11,125.5700,128.8000,122.8200,128.4500,71.2560,36446000,0.0000
2010-06-04,124.6900,128.2200,124.2000,125.2800,69.4975,31155200,0.0000
2010-05-28,125.2600,126.3900,121.4700,125.2600,69.4864,40594400,0.0000
2010-05-21,130.6800,131.9900,121.4000,125.4200,69.5752,52738700,0.0000
2010-05-14,126.2700,133.1000,125.0600,131.1900,72.7760,52007600,0.0000
2010-05-07,129.3900,130.1400,116.0000,122.1000,67.7334,43103500,0.6500
2010-04-30,129.7600,132.0000,128.7100,129.0000,71.1877,35378000,0.0000
2010-04-23,130.3800,132.2800,127.7700,129.9900,71.7340,46345200,0.0000
2010-04-16,128.5700,132.1700,127.8400,130.6300,72.0872,35328700,0.0000
2010-04-09,128.3800,129.8000,127.1200,128.7600,71.0553,24394000,0.0000
2010-04-01,129.3000,129.9500,127.5500,128.2500,70.7738,17954900,0.0000
2010-03-26,127.1100,130.7300,126.5700,129.2600,71.3312,31453700,0.0000
2010-03-19,127.4000,128.9300,126.7800,127.7100,70.4758,32679700,0.0000
2010-03-12,127.0600,128.3700,125.2000,127.9400,70.6028,33736000,0.0000
2010-03-05,127.5000,129.0900,125.4700,127.2500,70.2220,29153500,0.0000
2010-02-26,127.3000,128.2700,125.5700,127.1600,70.1723,23624900,0.0000
2010-02-19,124.9100,128.0600,124.1100,127.1900,70.1889,24433700,0.0000
2010-02-12,123.1500,124.2000,121.6100,124.0000,68.4285,30088800,0.5500
2010-02-05,123.2300,126.0700,121.8300,122.9700,67.5552,35063800,0.0000
2010-01-29,126.3300,127.7500,121.9000,122.3900,67.2366,42786400,0.0000
2010-01-22,131.6300,134.2500,125.3700,125.5000,68.9451,48810900,0.0000
